案件番号,表題,フォルダ,尺,尺(秒),解像度,比率,向き,fps,映像,音声,ビットレート(Mbps),容量(MB),軽量版,ファイル名,相対パス,軽量版パス
,concept_pre04,名古屋デモリール事例/素材,1:05,64.6,1920x1080,16:9,横,29.97,h264,aac,10.2,83,,concept_pre04.mp4,名古屋デモリール事例/素材/concept_pre04.mp4,
,【final】興亜工業株式会社_サイトTOP動画,名古屋デモリール事例/素材,1:19,79.0,1920x1080,16:9,横,29.97,h264,aac,20.3,200,,【final】興亜工業株式会社_サイトTOP動画.mp4,名古屋デモリール事例/素材/【final】興亜工業株式会社_サイトTOP動画.mp4,
,つばめタクシー【30代ママ】タクシードライバーの１日に密着,名古屋デモリール事例/素材,30:11,1810.7,1920x1080,16:9,横,29.97,h264,aac,5.5,1254,,つばめタクシー【30代ママ】タクシードライバーの１日に密着.mp4,名古屋デモリール事例/素材/つばめタクシー【30代ママ】タクシードライバーの１日に密着.mp4,
,アールケア：#13-14_一日密着（ケアマネ）_T2141 (1)-003,名古屋デモリール事例/素材,21:41,1301.0,1920x1080,16:9,横,29.97,h264,aac,15.3,2494,,アールケア：#13-14_一日密着（ケアマネ）_T2141 (1)-003.mp4,名古屋デモリール事例/素材/アールケア：#13-14_一日密着（ケアマネ）_T2141 (1)-003.mp4,
,キッセイ薬品_豚ばらと焼きねぎ,名古屋デモリール事例/素材,0:30,30.2,1080x1920,9:16,縦,30.0,h264,aac,17.4,66,,キッセイ薬品_豚ばらと焼きねぎ.mp4,名古屋デモリール事例/素材/キッセイ薬品_豚ばらと焼きねぎ.mp4,
,グランドセントラル,名古屋デモリール事例/素材,4:42,282.4,1920x1080,16:9,横,29.97,h264,aac,5.7,200,,グランドセントラル.mp4,名古屋デモリール事例/素材/グランドセントラル.mp4,
,トヨタホーム愛知_採用動画,名古屋デモリール事例/素材,4:21,261.1,1920x1080,16:9,横,29.97,h264,aac,10.4,338,,トヨタホーム愛知_採用動画.mp4,名古屋デモリール事例/素材/トヨタホーム愛知_採用動画.mp4,
,ホシザキ_ブランディング,名古屋デモリール事例/素材,0:37,36.8,1920x1080,16:9,横,29.97,h264,aac,10.6,49,,ホシザキ_ブランディング.mp4,名古屋デモリール事例/素材/ホシザキ_ブランディング.mp4,
,ライフバンク,名古屋デモリール事例/素材,1:49,109.4,1920x1080,16:9,横,29.97,h264,aac,20.1,274,,ライフバンク.mp4,名古屋デモリール事例/素材/ライフバンク.mp4,
,ロート製薬サイエンスキッズ動画,名古屋デモリール事例/素材,11:27,686.9,1920x1080,16:9,横,29.97,h264,aac,5.5,469,,ロート製薬サイエンスキッズ動画.mp4,名古屋デモリール事例/素材/ロート製薬サイエンスキッズ動画.mp4,
,三井E＆Sテクニカルリサーチ,名古屋デモリール事例/素材,3:48,228.3,1920x1080,16:9,横,29.97,h264,aac,10.3,295,,三井E＆Sテクニカルリサーチ.mp4,名古屋デモリール事例/素材/三井E＆Sテクニカルリサーチ.mp4,
,大同大学＿工学部深堀り調査V4,名古屋デモリール事例/素材,15:27,926.7,1920x1080,16:9,横,29.97,h264,aac,5.6,644,,大同大学＿工学部深堀り調査V4.mp4,名古屋デモリール事例/素材/大同大学＿工学部深堀り調査V4.mp4,
,岐阜宇部生コンクリート,名古屋デモリール事例/素材,1:54,113.9,3840x2160,16:9,横,23.976,h264,aac,66.7,950,,岐阜宇部生コンクリート.mp4,名古屋デモリール事例/素材/岐阜宇部生コンクリート.mp4,
,藍野大学047_有_言ってみたい手術器具ベスト４ (1),名古屋デモリール事例/素材,0:29,28.8,1080x1920,9:16,縦,29.97,h264,aac,18.9,68,,藍野大学047_有_言ってみたい手術器具ベスト４ (1).mp4,名古屋デモリール事例/素材/藍野大学047_有_言ってみたい手術器具ベスト４ (1).mp4,
,関西学院短期大学_キャンパスツアー,名古屋デモリール事例/素材,0:53,53.2,608x1080,0.56:1,縦,29.97,h264,aac,5.5,36,,関西学院短期大学_キャンパスツアー.mp4,名古屋デモリール事例/素材/関西学院短期大学_キャンパスツアー.mp4,
,01_導入＋分岐①,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:48,47.8,1920x1080,16:9,横,29.97,h264,aac,10.2,61,,01_導入＋分岐①.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/01_導入＋分岐①.mp4,
,02_1_作業の軽減+分岐②,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:55,54.5,1920x1080,16:9,横,29.97,h264,aac,10.2,70,,02_1_作業の軽減+分岐②.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/02_1_作業の軽減+分岐②.mp4,
,02_2_コンパクトで導入ラクラク+分岐②,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:44,44.0,1920x1080,16:9,横,29.97,h264,aac,10.2,56,,02_2_コンパクトで導入ラクラク+分岐②.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/02_2_コンパクトで導入ラクラク+分岐②.mp4,
,02_3_料理の品質を損なわない加熱+分岐②,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:42,41.8,1920x1080,16:9,横,29.97,h264,aac,10.2,53,,02_3_料理の品質を損なわない加熱+分岐②.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/02_3_料理の品質を損なわない加熱+分岐②.mp4,
,02_分岐①,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:20,20.1,1920x1080,16:9,横,29.97,h264,aac,10.3,26,,02_分岐①.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/02_分岐①.mp4,
,03_1_うれしい便利機能+分岐③,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:58,57.9,1920x1080,16:9,横,29.97,h264,aac,10.2,74,,03_1_うれしい便利機能+分岐③.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/03_1_うれしい便利機能+分岐③.mp4,
,03_分岐②,名古屋デモリール事例/素材/ホシザキインタラクティブ,0:20,20.1,1920x1080,16:9,横,29.97,h264,aac,10.3,26,,03_分岐②.mp4,名古屋デモリール事例/素材/ホシザキインタラクティブ/03_分岐②.mp4,
